strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,cost_case
daily_breakout_2_time5_market_ma60,test,2025-01-01,2026-07-31,-0.20100614018009977,-0.13793394561285466,0.3707819116382145,-0.38535238939706873,-0.2153350077206867,-0.3042252327641589,-0.3579423649835656,164,0.40853658536585363,0.9200696527087884,-0.0012123781432056327,2.658536585365854,-0.0015492952000518822,161.08783591058756,0.5485321064286195,798993.8598199002,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.4403850276171888,-0.44598340356029165,164,0,5,0,0,28,107,0,high_10bp_slippage_5bp_commission
risk_adjusted20_4_ma20,test,2025-01-01,2026-07-31,-0.08314901118659956,-0.05580054535581769,0.27985160716776464,-0.24516701716525358,-0.06467072645885416,-0.09280824982706519,-0.22760217096496962,172,0.313953488372093,0.9306696852953673,-0.0017834381681534417,8.255813953488373,-0.0007683747387933669,84.6244441902101,0.9233602018010969,916850.9888134004,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.3225278986236886,-0.32812627456679144,176,0,0,0,0,4,0,4,high_10bp_slippage_5bp_commission
risk_adjusted20_6_ma20,test,2025-01-01,2026-07-31,-0.1208531319842,-0.08166473297694199,0.27169589503035857,-0.2502624363111001,-0.17692260908043206,-0.24241703081856822,-0.32631638283671516,262,0.3282442748091603,0.9036845667934806,-0.0025649117851070263,8.099236641221374,-0.0010212063251464065,85.3559096804081,0.915507798522338,879146.8680158,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.360232019421289,-0.3658303953643919,268,0,0,0,0,6,0,6,high_10bp_slippage_5bp_commission
