strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,cost_case
daily_breakout_2_fixed,train,2021-01-01,2024-12-31,0.25921919999999976,0.061840874281789304,0.31209121244601107,-0.5317901189581599,0.34746415006681464,0.6082500373055527,0.11628812209400005,329,0.39209726443769,1.0510372041956872,0.0007333728077867,4.826747720364741,-0.005450244794926379,304.9790211171754,0.7237386343937697,1259219.1999999997,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,0.4835932027961163,0.2263847558623926,331,0,63,0,0,37,0,2,zero_friction
daily_breakout_2_fixed,test,2025-01-01,2026-07-31,1.3167786699999988,0.7431748829458249,0.39625125266643313,-0.19811010872452128,1.6014064509797776,2.782173461604288,3.751322371839361,167,0.48502994011976047,1.3705624912013763,0.012130003604268587,3.5508982035928143,-0.003535855018992594,166.11013992440886,0.740475071169813,2316778.669999999,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,1.0773997825629098,1.071801406619807,169,0,13,0,0,25,0,2,zero_friction
daily_breakout_2_fixed,train,2021-01-01,2024-12-31,-0.4667387259784994,-0.15098738312976256,0.32145682288154703,-0.6557662712426818,-0.34903075843229603,-0.5937327915710403,-0.23024572892966938,336,0.37202380952380953,0.9018292372999466,-0.004129809494961232,4.711309523809524,-0.005416842342052508,319.4096193355749,0.7519092041011798,533261.2740215006,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,-0.2423647231823829,-0.4995731701161066,339,1,32,0,0,42,0,2,base
daily_breakout_2_fixed,test,2025-01-01,2026-07-31,0.9917290373160002,0.5773064314506067,0.40197864464547606,-0.2038388808216408,1.3349196597161948,2.3635264784455234,2.8321703353333767,169,0.47928994082840237,1.2814248794307617,0.010043948082301583,3.497041420118343,-0.004087936546191974,169.3286187621463,0.7475647595331436,1991729.037316,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.7523501498789111,0.7467517739358083,171,0,8,0,0,26,0,2,base
daily_breakout_2_fixed,train,2021-01-01,2024-12-31,-0.6147271355124998,-0.2198774105580431,0.3255470360587424,-0.7444174651550373,-0.6002006912479779,-1.0112842399223605,-0.2953684200736075,346,0.3670520231213873,0.8621878176269177,-0.005686097457173201,4.546242774566474,-0.005005285951344462,333.47475453318935,0.7582343015552496,385272.8644875002,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,-0.3903531327163833,-0.647561579650107,349,1,30,0,0,45,0,2,high_10bp_slippage_5bp_commission
daily_breakout_2_fixed,test,2025-01-01,2026-07-31,0.8274577598202997,0.4900140771524888,0.39192091655692257,-0.20663264630790712,1.2132364234295505,2.2757495294099317,2.3714262286623855,164,0.4817073170731707,1.2479478682744083,0.008939535595781804,3.6341463414634148,-0.004315792901998409,162.85497414795967,0.7561264302582755,1827457.7598202997,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.5880788723832107,0.5824804964401078,166,0,8,0,0,26,0,2,high_10bp_slippage_5bp_commission
daily_breakout_2_time2,train,2021-01-01,2024-12-31,-0.7101959599999997,-0.27561518715271616,0.3970220571651135,-0.8161609956074191,-0.6138037972672501,-1.049739120764136,-0.3376970826051207,954,0.4276729559748428,0.9075933952644899,-0.001851143737396706,1.6582809224318658,-0.0037122084771945185,889.6927399288076,0.7704764024211019,289804.04000000027,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,-0.4858219572038832,-0.7430304041376069,959,1,87,0,0,99,0,2,zero_friction
daily_breakout_2_time2,test,2025-01-01,2026-07-31,2.6169692100000024,1.3404476453788319,0.42674264167890574,-0.28472855231170435,2.208041416003869,3.775541684195068,4.707809014922351,379,0.503957783641161,1.320994696798114,0.007759617669601318,1.6253298153034301,-0.0035115234936278668,335.23149075142624,0.7164221720660665,3616969.2100000023,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,2.3775903225629134,2.3719919466198105,381,0,88,0,0,48,0,2,zero_friction
daily_breakout_2_time2,train,2021-01-01,2024-12-31,-0.9243212132018024,-0.48930371941963113,0.39473967312762337,-0.9486684474644643,-1.5033211967852635,-2.5756578807920203,-0.515779480942376,953,0.40398740818467993,0.8184639189071717,-0.004777864754521519,1.6568730325288563,-0.003717516035953577,895.8979867869257,0.774046578129365,75678.78679819763,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,-0.6999472104056859,-0.9571556573394095,959,1,51,0,0,105,0,2,base
daily_breakout_2_time2,test,2025-01-01,2026-07-31,1.2963522223489998,0.7329942418434754,0.43106397454671447,-0.3272948968806234,1.4915220504054139,2.515705339840976,2.2395529194909067,379,0.49076517150395776,1.1874033876106407,0.004877917436337239,1.6174142480211082,-0.0035115234936278668,350.04234018868186,0.7399686371436177,2296352.2223489997,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,1.0569733349119108,1.051374958968808,381,0,66,0,0,49,0,2,base
