strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,cost_case,validation_status
posthoc_risk20_4_ma60_hold40,train,2021-01-01,2024-12-31,-0.4872573499999999,-0.15961565360051333,0.28745633500933326,-0.6489504708060765,-0.46107517223646927,-0.7061888205945599,-0.24595968533970092,154,0.2987012987012987,0.6560900006563164,-0.016792310296137453,24.454545454545453,-0.00010914941183268587,74.29892138260307,0.9616091176331669,512742.6500000001,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.2628833472038834,-0.5200917941376051,158,0,0,0,0,0,0,4,zero_friction,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold40,test_seen_posthoc,2025-01-01,2026-07-31,-0.23399519999999996,-0.1616435639768362,0.27458405097527616,-0.2779396821190697,-0.5037914283174931,-0.6637749373876088,-0.58157785439068,53,0.3018867924528302,0.5815727983139535,-0.021246288210048373,27.528301886792452,0.0010259946589616868,25.518029586020848,0.9591626738989012,766004.8,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.473374087437089,-0.47897246338019184,57,0,0,0,0,0,0,4,zero_friction,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold40,train,2021-01-01,2024-12-31,-0.5016064392327999,-0.16580255792634413,0.2881145209721704,-0.6558400238380673,-0.4849781340873668,-0.7372842206487192,-0.25280945337255334,155,0.2903225806451613,0.6453912834268642,-0.01740146997538103,24.296774193548387,-0.0002829043486990395,74.5559735933939,0.9615671486261372,498393.5607672,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.2772324364366834,-0.5344408833704051,159,0,0,0,0,0,0,4,base,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold40,test_seen_posthoc,2025-01-01,2026-07-31,-0.2544314842369997,-0.17650481649333083,0.2731164276124807,-0.2912079395316609,-0.5734089415381741,-0.7549330761873901,-0.6061126519324888,53,0.3018867924528302,0.5556772619301269,-0.02386825304415369,27.528301886792452,0.0010259946589616868,25.429242242542465,0.9574051497572489,745568.5157630004,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.4938103716740887,-0.49940874761719156,57,0,0,0,0,0,0,4,base,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold40,train,2021-01-01,2024-12-31,-0.527333396875,-0.17723332392601887,0.28782043229294174,-0.6723917419068276,-0.5336566551279819,-0.8104633483534114,-0.2635864078630785,155,0.2838709677419355,0.6270341182243913,-0.01854846005470301,24.29032258064516,-0.0002829043486990395,74.62961317491663,0.9611746177156495,472666.6031249999,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.3029593940788835,-0.5601678410126052,159,0,0,0,0,0,0,4,high_10bp_slippage_5bp_commission,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold40,test_seen_posthoc,2025-01-01,2026-07-31,-0.2649408747179999,-0.18420087348861058,0.2733588606822657,-0.30061038349376945,-0.6069574249630771,-0.7980783801495743,-0.6127561907469121,53,0.3018867924528302,0.5435436278492392,-0.024926392295846464,27.528301886792452,0.0010259946589616868,25.42420724061757,0.9574546026746931,735059.1252820002,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.5043197621550889,-0.5099181380981918,57,0,0,0,0,0,0,4,high_10bp_slippage_5bp_commission,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold60,train,2021-01-01,2024-12-31,-0.27288100000000015,-0.07961045239251774,0.2994403981342109,-0.5323298898547293,-0.12739297297239194,-0.1993793946332943,-0.14955097188745706,122,0.32786885245901637,0.7524027657454029,-0.008197934908994259,30.975409836065573,-0.00021007452682718751,57.59371215915973,0.9687459434786785,727118.9999999999,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.04850699720388363,-0.3057154441376053,126,0,0,0,0,1,0,4,zero_friction,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold60,test_seen_posthoc,2025-01-01,2026-07-31,0.24437080000000022,0.1555838140107706,0.3289220537961855,-0.29260292089464934,0.6034060020456139,0.8620215660687507,0.5317233797088033,45,0.28888888888888886,1.2769423769659238,0.03391090678741689,32.44444444444444,0.0006953654888211301,21.675637604352087,0.9648723502325643,1244370.8000000003,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.004991912562911205,-0.0006064633801916575,49,0,0,0,0,0,0,4,zero_friction,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold60,train,2021-01-01,2024-12-31,-0.4851853044869002,-0.158732868594896,0.301317715248374,-0.5764027375021293,-0.4228980039596097,-0.6585779135186869,-0.275385348242399,124,0.31451612903225806,0.6207411719527943,-0.01880889549791454,30.217741935483872,3.800414852759264e-05,58.4902652043501,0.9676275437713396,514814.6955130997,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.2608113016907837,-0.5180197486245054,128,0,0,0,0,1,0,4,base,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold60,test_seen_posthoc,2025-01-01,2026-07-31,0.2062129208029997,0.13202294169316087,0.3302358168570262,-0.30052685110573996,0.5398933396700646,0.7723804127881845,0.43930497793260004,45,0.28888888888888886,1.2175994007918334,0.030870823752704817,32.422222222222224,0.0006953654888211301,21.668936061749303,0.9651294681078293,1206212.9208029998,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.03316596663408933,-0.03876434257719219,49,0,0,0,0,0,0,4,base,posthoc_test_seen_not_validated
