date,code,external_score
2026-07-14,sh.600000,0.03814220428466797
2026-07-14,sh.600009,0.041602134704589844
2026-07-14,sh.600010,-0.05431258678436279
2026-07-15,sh.600000,-0.004029452800750732
2026-07-15,sh.600009,-0.07747817039489746
2026-07-15,sh.600010,0.12745976448059082
2026-07-16,sh.600000,0.02636551856994629
2026-07-16,sh.600009,0.019946694374084473
2026-07-16,sh.600010,0.3828796148300171
2026-07-17,sh.600000,0.024420857429504395
2026-07-17,sh.600009,-0.01516580581665039
2026-07-17,sh.600010,0.31045687198638916
